datum,werkzaamheden,duur
07-07-2020,"Stofzuigen ",00:21
08-07-2020,,00:00
09-07-2020,"Stofzuigen ",00:21
10-07-2020,,00:00
11-07-2020,,00:00
12-07-2020,,00:00
13-07-2020,,00:00
14-07-2020,"Stofzuigen ",00:21
15-07-2020,,00:00
16-07-2020,"Stofzuigen ",00:21
17-07-2020,,00:00
18-07-2020,,00:00
19-07-2020,,00:00
20-07-2020,,00:00
21-07-2020,"Stofzuigen ",00:21
22-07-2020,,00:00
23-07-2020,"Stofzuigen ",00:21
24-07-2020,,00:00
25-07-2020,,00:00
26-07-2020,,00:00
27-07-2020,,00:00
28-07-2020,"Stofzuigen ",00:21
29-07-2020,,00:00
30-07-2020,"Stofzuigen ",00:21
31-07-2020,"Ramen lappen",00:35
01-08-2020,,00:00
02-08-2020,,00:00
03-08-2020,"Koelkast schoonmaken",00:50
04-08-2020,"Stofzuigen ",00:21
05-08-2020,,00:00
06-08-2020,"Stofzuigen ",00:21
07-08-2020,,00:00
08-08-2020,,00:00
09-08-2020,,00:00
10-08-2020,,00:00
11-08-2020,"Stofzuigen ",00:21
12-08-2020,,00:00
13-08-2020,"Stofzuigen ",00:21
14-08-2020,,00:00
15-08-2020,,00:00
16-08-2020,,00:00
17-08-2020,,00:00
18-08-2020,"Stofzuigen ",00:21
19-08-2020,,00:00
20-08-2020,"Stofzuigen ",00:21
21-08-2020,,00:00
22-08-2020,,00:00
23-08-2020,,00:00
24-08-2020,,00:00
25-08-2020,"Stofzuigen ",00:21
26-08-2020,,00:00
27-08-2020,"Stofzuigen ",00:21
28-08-2020,,00:00
29-08-2020,,00:00
30-08-2020,,00:00
31-08-2020,"Ramen lappen",00:35
01-09-2020,"Stofzuigen , Koelkast schoonmaken",01:11
02-09-2020,,00:00
03-09-2020,"Stofzuigen ",00:21
04-09-2020,,00:00
05-09-2020,,00:00
06-09-2020,,00:00
07-09-2020,,00:00
08-09-2020,"Stofzuigen ",00:21
09-09-2020,,00:00
10-09-2020,"Stofzuigen ",00:21
11-09-2020,,00:00
12-09-2020,,00:00
13-09-2020,,00:00
14-09-2020,,00:00
15-09-2020,"Stofzuigen ",00:21
16-09-2020,,00:00
17-09-2020,"Stofzuigen ",00:21
18-09-2020,,00:00
19-09-2020,,00:00
20-09-2020,,00:00
21-09-2020,,00:00
22-09-2020,"Stofzuigen ",00:21
23-09-2020,,00:00
24-09-2020,"Stofzuigen ",00:21
25-09-2020,,00:00
26-09-2020,,00:00
27-09-2020,,00:00
28-09-2020,,00:00
29-09-2020,"Stofzuigen ",00:21
30-09-2020,"Ramen lappen",00:35
01-10-2020,"Stofzuigen , Koelkast schoonmaken",01:11
02-10-2020,,00:00
03-10-2020,,00:00
04-10-2020,,00:00
05-10-2020,,00:00
06-10-2020,"Stofzuigen ",00:21
07-10-2020,,00:00
